CITY;STATE;populacao;unidades_domesticas_percapita;idosos_percapita;GDP_CAPITA;TV_assinatura/por_residencia;empresa/percapita;carros_percapita;motos/percapita;IDH
Claro Dos Poções;MG;7775;0,311254019;0,083987138;80120000;0,081404959;0,014285714;0,108163265;0,117091837;6700
Cláudio;MG;25771;0,295176749;0,075278414;205420000;0,154857368;0,026048534;0,319032178;0,159854613;7090
Coimbra;MG;7054;0,332010207;0,114119648;135290000;0,108881298;0,018484043;0,215425532;0,209973404;6690
Coluna;MG;9024;0,276595745;0,054632092;92640000;0,045272436;0,013097577;0,122789784;0,212617332;5830
Comendador Gomes;MG;2972;0,337146703;0,053499327;322550000;0,155688623;0,015669971;0,159897665;0,098816757;6970
Comercinho;MG;8298;0,289105809;0,060014461;73000000;0,040016674;0,007778066;0,058854032;0,130412237;5930
Conceição Da Aparecida;MG;9820;0,323217923;0,093075356;188310000;0,157844991;0,020504884;0,306509334;0,151078441;6910
Conceição Da Barra De Minas;MG;3954;0,302225594;0,094587759;114900000;0,114644351;0,013820336;0,200641658;0,155972359;6850
Conceição Das Alagoas;MG;23043;0,303085536;0,075554398;293980000;0,109536082;0,020849099;0,252497351;0,108861813;7120
Conceição Das Pedras;MG;2749;0,31102219;0,076755184;168840000;0,061988304;0,018220042;0,275052558;0,15697267;6680
Conceição De Ipanema;MG;4456;0,327199282;0,060143627;89150000;0,056927298;0,009059534;0,139559965;0,236194996;6760
Conceição Do Mato Dentro;MG;17908;0,284342193;0,084431539;437140000;0,501571092;0,021420705;0,173678414;0,127367841;6340
Conceição Do Pará;MG;5158;0,320666925;0,050988755;433140000;0,110640871;0,022594752;0,244351312;0,161625364;7000
Conceição Do Rio Verde;MG;12949;0,30465673;0,119545911;153180000;0,150570342;0,017773552;0,2125512;0,068095377;6650
Conceição Dos Ouros;MG;10388;0,306988833;0,080573739;123510000;0,134211352;0,032110495;0,25749978;0,084718923;7030
Confins;MG;5936;0,285714286;0,091644205;1538600000;0,410377358;0,030710466;0,383193277;0,12987013;7470
Congonhal;MG;10468;0,322888804;0,090084066;164690000;0,179585799;0,021660338;0,289264757;0,146358302;7120
Congonhas;MG;48519;0,290113152;0,093406707;507220000;0,411054277;0,024330809;0,323985904;0,085757667;7530
Congonhas Do Norte;MG;4943;0,292737204;0,076471778;75300000;0,09122322;0,00975039;0,105694228;0,103939158;5680
Conquista;MG;6526;0,319491266;0,11415875;653760000;0,082014388;0,023527714;0,296189376;0,051674365;7290
Conselheiro Lafaiete;MG;116512;0,3021663;0,108615422;157360000;0,372351304;0,024806202;0,34829932;0,13819016;7610
Conselheiro Pena;MG;22242;0,332299254;0,115232443;115620000;0,100933568;0,014142808;0,148499483;0,160055191;6620
Consolação;MG;1727;0,325998842;0,097278518;146360000;0,081705151;0,012174875;0,16768124;0,080243498;6730
Contagem;MG;603442;0,306635932;0,091294607;405130000;0,312278085;0,024195473;0,312231569;0,083409299;7560
Coqueiral;MG;9289;0,308214017;0,103563355;185650000;0,17603912;0,019055685;0,265403345;0,11454584;6940
Coração De Jesus;MG;26033;0,295163831;0,058617908;77760000;0,073789693;0,013659584;0,093358999;0,114014955;6420
Cordisburgo;MG;8667;0,310257298;0,095188647;111170000;0,195983637;0,017084535;0,174284446;0,087641447;6560
Cordislândia;MG;3435;0,31062591;0,112372635;198040000;0,13027179;0,014804469;0,211173184;0,067039106;6600
Corinto;MG;23914;0,304800535;0,117922556;124260000;0,112909864;0,021837997;0,212193223;0,145572991;6800
Coroaci;MG;10270;0,291626095;0,075073028;85650000;0,074123539;0,020742885;0,091558128;0,141148095;6260
Coromandel;MG;27547;0,348531601;0,099829383;330170000;0,062285179;0,028086929;0,343222273;0,096654145;7080
Coronel Fabriciano;MG;103694;0,305157483;0,104046521;146240000;0,077205069;0,022228898;0,254175883;0,121831108;7550
Coronel Murta;MG;9117;0,278271361;0,092245256;86590000;0,093023256;0,010419989;0,073152578;0,148644338;6270
Coronel Pacheco;MG;2983;0,310760979;0,115990613;128100000;0,228694714;0,019249278;0,158806545;0,034007058;6690
Coronel Xavier Chaves;MG;3301;0,302029688;0,071493487;151290000;0,255767302;0,024270442;0,209188096;0,099971107;6770
Couto De Magalhães De Minas;MG;4204;0,289961941;0,109657469;99670000;0,085315833;0,022809395;0,173893406;0,08197832;6590
Cristais;MG;11286;0,330409357;0,096491228;170400000;0,098685975;0,024750884;0,269768563;0,120540019;6920
Cristiano Otoni;MG;5007;0,283003795;0,095466347;157770000;0,227946366;0,019750719;0,301629914;0,126558006;6950
Cristina;MG;10210;0,304701273;0,077668952;157360000;0,159434266;0,020604789;0,187064772;0,100066775;6680
Cristália;MG;5760;0,256944444;0,034722222;67370000;0,016891892;0,01493528;0,06189844;0,142383007;5830
Crisólita;MG;6047;0,290557301;0,087150653;81210000;0,077973819;0,004863961;0,043167655;0,070375437;5850
Crucilândia;MG;4757;0,339289468;0,088080723;116760000;0,149938042;0,015687053;0,287529786;0,238681493;6510
Cruzeiro Da Fortaleza;MG;3934;0,316725979;0,101423488;217810000;0,073836276;0,018999519;0,212361712;0,108465608;6960
Cruzília;MG;14591;0,311013639;0,124940032;142130000;0,1392684;0,026239067;0,305085844;0,128733398;6950
Cuparaque;MG;4680;0,335042735;0,100641026;87620000;0,089923469;0,013274336;0,10458568;0,183427192;6270
Curral De Dentro;MG;6913;0,282800521;0,084623174;80290000;0,05370844;0,012170922;0,093266305;0,132292631;5850
Curvelo;MG;74219;0,30606718;0,106428273;170580000;0,153416094;0,025012279;0,237616655;0,189405675;7130
Cássia;MG;17412;0,329083391;0,124282104;192490000;0,166666667;0,02816589;0,314703925;0,080172987;7040
Córrego Danta;MG;3391;0,358301386;0,116189914;309140000;0,087242798;0,018672199;0,228215768;0,049199763;6920
Córrego Do Bom Jesus;MG;3730;0,34691689;0,107238606;90080000;0,13137558;0,007880221;0,279747833;0,161544523;6920
Córrego Fundo;MG;5790;0,310708117;0,0791019;242880000;0,041689828;0,031829814;0,275271913;0,113723608;6780
Córrego Novo;MG;3127;0,31915574;0,098177167;116040000;0,04008016;0,011;0,106666667;0,159;6320
Cônego Marinho;MG;7101;0,257569356;0,039994367;64150000;0,043739748;0,005781106;0,044934963;0,105373801;6210
Datas;MG;5211;0,270197659;0,064095183;93290000;0,091619318;0,011544805;0,167308045;0,059373282;6160
Delfim Moreira;MG;7971;0,303976916;0,052941914;107740000;0,147338011;0,0184079;0,161038644;0,105327319;6690
Delfinópolis;MG;6830;0,32489019;0,100732064;234860000;0,175754845;0,021912073;0,23991626;0,072156315;7400
Delta;MG;8089;0,29533935;0,056990975;332140000;0,107157807;0,01916143;0,275059236;0,071391779;6390
Descoberto;MG;4768;0,333473154;0,120176174;118160000;0,142767296;0,031616624;0,223901372;0,131835355;6800
Desterro De Entre Rios;MG;7002;0,33347615;0,079120251;136610000;0,139186296;0,015853492;0,258029247;0,223998907;6390
Desterro Do Melo;MG;3015;0,317412935;0,068656716;115490000;0,108672936;0,016853933;0,248182419;0,263053536;6310
Diamantina;MG;45880;0,279664342;0,092262424;148130000;0,51328813;0,023432789;0,241605156;0,124586755;7160
Diogo De Vasconcelos;MG;3848;0,306392931;0,048856549;86440000;0,109414758;0,006636039;0,119448698;0,164624809;6010
Dionísio;MG;8739;0,302780639;0,117519167;82460000;0,024943311;0,024364027;0,139257136;0,083363191;7020
